Year,Agency,,Population,,Murder,,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,,Total,Months,
2015,County Totals - AUSTIN COUNTY,,,,,,,,,,,,,,,
,Population,,29354,,,,,,,,,,,,,
,Number Offenses,,,,0,,8,4,53,121,283,13,,482,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,County Totals - BRAZORIA COUNTY,,,,,,,,,,,,,,,
,Population,,350739,,,,,,,,,,,,,
,Number Offenses,,,,4,,112,102,352,1149,4473,359,,6551,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,County Totals - CHAMBERS COUNTY,,,,,,,,,,,,,,,
,Population,,34701,,,,,,,,,,,,,
,Number Offenses,,,,3,,12,14,95,144,591,112,,971,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,County Totals - FORT BEND COUNTY,,,,,,,,,,,,,,,
,Population,,680418,,,,,,,,,,,,,
,Number Offenses,,,,14,,147,299,873,1915,7842,507,,11597,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,County Totals - GALVESTON COUNTY,,,,,,,,,,,,,,,
,Population,,333684,,,,,,,,,,,,,
,Number Offenses,,,,14,,192,232,404,1521,6242,572,,9177,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,County Totals - HARRIS COUNTY,,,,,,,,,,,,,,,
,Population,,4566277,,,,,,,,,,,,,
,Number Offenses,,,,404,,1681,14293,16602,32374,108379,21796,,195529,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,County Totals - LIBERTY COUNTY,,,,,,,,,,,,,,,
,Population,,78882,,,,,,,,,,,,,
,Number Offenses,,,,7,,46,27,241,398,1347,173,,2239,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,County Totals - MONTGOMERY COUNTY,,,,,,,,,,,,,,,
,Population,,531732,,,,,,,,,,,,,
,Number Offenses,,,,7,,251,218,726,1854,6161,792,,10009,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,County Totals - WALLER COUNTY,,,,,,,,,,,,,,,
,Population,,46933,,,,,,,,,,,,,
,Number Offenses,,,,4,,26,30,169,180,498,49,,956,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
